,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
2479,clean_fileid_14_5-214759-B-5-1-51805-G-33_snr18_pitch_-0.79_fileid_1447.wav,3.940542936,-19.31370163,-24.64611053,-24.79188919,0.993688599,0.217894003,0.000805989,0.000475273,0.06019396,18,4859.960938,0.151595831
2480,clean_fileid_14_5-215172-A-13-4-59579-B-20_snr-2_pitch_0.66_fileid_10385.wav,3.014516354,-11.70451927,-11.13487148,-11.4694891,0.976910982,0.509614646,0.00084406,0.000371525,0.043572556,-2,5446.968262,0.141757727
2481,clean_fileid_14_5-216368-A-28-1-30709-B-23_snr3_pitch_-0.09_fileid_13677.wav,2.257525921,-8.810909271,-11.41106701,-11.72932053,0.939624261,0.929419696,0.00214136,0.001316362,0.080362603,3,5599.38623,0.150782824
2482,clean_fileid_14_5-216370-B-41-1-97392-A-0_snr-6_pitch_0.65_fileid_7607.wav,1.196951151,1.01153779,1.26908493,1.266731024,0.730632031,2.081848145,0.00670032,0.003220551,0.072686307,-6,7531.130859,0.148639917
2483,clean_fileid_14_5-217186-C-16-3-108791-A-18_snr8_pitch_-0.88_fileid_128.wav,2.266333103,-10.47303295,-13.90777683,-14.20381451,0.948657601,0.781022608,0.005159329,0.002272981,0.089735314,8,5400.683105,0.164561033
2484,clean_fileid_14_5-220955-A-40-2-209477-A-25_snr-1_pitch_0.66_fileid_6962.wav,1.914647937,-9.681485176,-11.76673126,-12.17292976,0.933157343,0.919167995,0.001054534,0.000728666,0.069639921,-1,5699.270508,0.145637989
2485,clean_fileid_14_5-223810-A-35-3-150231-A-21_snr1_pitch_-0.6_fileid_2040.wav,2.132316351,-7.696480751,-9.310712814,-9.455972672,0.940865961,0.702602863,0.014257007,0.004224454,0.083634399,1,5574.413574,0.162564039
2486,clean_fileid_14_5-232272-A-44-5-198891-C-8_snr-2_pitch_0.7_fileid_13466.wav,1.391094327,-4.538323402,-6.271270752,-6.501569748,0.835308049,1.456257343,0.004482222,0.002432251,0.09593121,-2,6520.202637,0.14763689
2487,clean_fileid_14_5-233645-A-37-1-79146-A-29_snr13_pitch_-0.17_fileid_10968.wav,3.711521149,-17.34113693,-20.44880104,-21.10091019,0.992249823,0.228124022,0.000812309,0.00040156,0.041866124,13,4905.059082,0.130684614
2488,clean_fileid_14_5-243036-A-29-2-52001-A-28_snr10_pitch_-0.66_fileid_5143.wav,3.146680117,-12.39511871,-13.5978241,-15.19812489,0.983587586,0.465989918,0.022759518,0.004109394,0.081159331,10,5075.925293,0.141622066
2489,clean_fileid_14_5-243783-A-44-5-244933-A-34_snr12_pitch_-0.61_fileid_8368.wav,2.756715775,-13.30335045,-17.26880455,-17.55500221,0.963147873,0.576744199,0.001042122,0.000723858,0.075901225,12,5575.830078,0.147628307
2490,clean_fileid_14_5-244459-A-28-4-164064-C-1_snr28_pitch_0.77_fileid_3472.wav,4.201812744,-26.56097221,-30.47057152,-30.5663414,0.998047375,0.098864794,3.41E-05,2.82E-05,0.025028866,28,4571.128418,0.151631355
2491,clean_fileid_14_5-244651-A-31-5-235874-A-28_snr-6_pitch_0.88_fileid_9872.wav,2.138128757,-8.549230576,-10.4981041,-10.62517071,0.928849356,1.303217411,0.006281648,0.002448909,0.075926945,-6,5585.961914,0.14165616
2492,clean_fileid_14_5-249748-A-28-2-61618-A-46_snr24_pitch_0.56_fileid_5550.wav,3.995990038,-22.00705338,-26.03392601,-26.17721939,0.992887271,0.170989573,0.000150038,0.000107263,0.038046215,24,4651.870605,0.15558362
2493,clean_fileid_14_5-251962-A-47-5-198411-E-20_snr8_pitch_0.11_fileid_12741.wav,2.634665489,-11.51865005,-13.75861549,-14.03619385,0.962638457,0.74257338,0.001046751,0.000652569,0.074201189,8,5661.505371,0.137633085
2494,clean_fileid_14_5-253094-D-49-5-160614-B-48_snr15_pitch_-0.94_fileid_2434.wav,2.487146854,-14.95429897,-19.80128098,-19.87335014,0.972533186,0.625681937,0.000606044,0.000511048,0.081360564,15,5358.240234,0.162564278
2495,clean_fileid_14_5-261464-A-23-5-233312-A-28_snr19_pitch_0.91_fileid_3577.wav,3.743159056,-17.9478302,-21.67971039,-22.03023529,0.992327084,0.275337934,0.003713315,0.001211846,0.082337715,19,4858.313477,0.155585766
2496,clean_fileid_150_1-115521-A-19-1-21935-A-38_snr18_pitch_-0.53_fileid_2148.wav,3.435720682,-18.7612114,-22.91713333,-23.12015343,0.991629352,0.284787565,0.000238831,0.000165486,0.035663296,18,4702.748535,0.14863801
2497,clean_fileid_150_1-12654-A-15-2-184077-A-49_snr11_pitch_-0.45_fileid_3531.wav,2.80209589,-14.5718298,-19.3990097,-19.77418327,0.966387572,0.504025042,0.004861351,0.001913406,0.093981162,11,5737.941406,0.145558119
2498,clean_fileid_150_1-12654-B-15-3-58772-A-42_snr-3_pitch_0.04_fileid_2701.wav,2.497623682,-9.412240028,-10.76188183,-11.39800072,0.947038773,0.693038702,0.00124796,0.000666572,0.04896098,-3,5839.53125,0.151629925
2499,clean_fileid_150_1-17092-B-27-5-185579-B-41_snr-7_pitch_0.56_fileid_10236.wav,1.393903375,-4.756056786,-7.276865005,-7.494659424,0.818762408,1.375831246,0.040388793,0.009631034,0.112183139,-7,7066.119629,0.15749383
2500,clean_fileid_150_1-172649-E-40-2-107228-B-44_snr24_pitch_0.36_fileid_13136.wav,3.855700254,-22.41496658,-28.31827927,-28.87318611,0.998029286,0.226311535,0.000648986,0.000333124,0.066025093,24,4895.929199,0.15505743
2501,clean_fileid_150_1-196660-A-8-1-81851-A-31_snr3_pitch_-0.6_fileid_3486.wav,1.994749546,-8.897317886,-12.00490952,-12.3783474,0.925876818,0.805266559,0.015054594,0.00437182,0.094845399,3,5794.666504,0.134641409
2502,clean_fileid_150_1-223162-A-25-1-211527-A-20_snr6_pitch_-0.47_fileid_5787.wav,3.307460546,-14.19294548,-18.34462738,-18.18767357,0.966463321,0.384561718,0.006255413,0.002107691,0.062773257,6,5267.003418,0.133643866
2503,clean_fileid_150_1-34119-B-1-5-172639-A-5_snr29_pitch_-0.64_fileid_12721.wav,4.225812435,-25.69120598,-32.32524109,-32.56650543,0.997660367,0.118072972,0.000255007,0.000154674,0.035388149,29,4646.375977,0.160604
2504,clean_fileid_150_1-39937-A-28-4-183882-A-28_snr-8_pitch_0.81_fileid_3743.wav,1.261982203,-3.743153095,-6.340685368,-6.572298527,0.814418299,1.728384376,0.015738098,0.005416363,0.114846312,-8,7492.912109,0.133675337
2505,clean_fileid_150_1-4211-A-12-3-197435-A-22_snr10_pitch_-0.65_fileid_10521.wav,2.931141853,-14.05199623,-16.76934052,-17.17124367,0.973594647,0.412459403,0.009140203,0.002187922,0.077500626,10,5217.153809,0.159579277
2506,clean_fileid_150_1-43382-A-1-2-52001-B-28_snr25_pitch_-0.22_fileid_7352.wav,4.173997879,-25.91649055,-29.67245102,-30.15036583,0.999331461,0.110161848,0.000129637,5.84E-05,0.029227778,25,4562.831055,0.170544624
2507,clean_fileid_150_1-45645-A-31-3-103597-A-25_snr26_pitch_-0.19_fileid_10296.wav,3.801413774,-26.87475204,-32.77109528,-33.01694489,0.99489884,0.15365006,4.00E-05,3.48E-05,0.041642196,26,4818.078125,0.153792381
2508,clean_fileid_150_1-47250-A-41-3-150979-B-40_snr5_pitch_-0.88_fileid_7546.wav,2.112838745,-7.787909508,-11.54280758,-11.90444183,0.947406594,0.963365078,0.011933731,0.004297437,0.103319138,5,5970.774414,0.158576727
2509,clean_fileid_150_1-49409-B-8-4-197103-A-6_snr2_pitch_0.0_fileid_5514.wav,2.241054773,-10.38623905,-11.77662754,-13.03029823,0.966357268,0.863089561,0.00373924,0.00123475,0.076375186,2,6132.996582,0.153590441
2510,clean_fileid_150_1-51036-A-16-1-9841-A-13_snr26_pitch_-0.27_fileid_4209.wav,3.89715147,-24.56822395,-28.63929939,-28.84202576,0.997945867,0.230734333,4.11E-05,3.33E-05,0.040178958,26,4745.949707,0.164591074
2511,clean_fileid_150_1-54065-A-45-4-204202-A-29_snr10_pitch_0.48_fileid_7980.wav,2.623093605,-11.64380264,-14.79285622,-15.22600174,0.973401267,0.57495445,0.013928741,0.00368206,0.090964392,10,5365.672363,0.150597572
2512,clean_fileid_150_1-56311-A-10-1-95563-A-31_snr17_pitch_0.7_fileid_11157.wav,3.044326305,-15.55016518,-21.20599365,-21.39782715,0.986925299,0.448341787,0.003029709,0.001475034,0.092062809,17,5731.691895,0.15561986
2513,clean_fileid_150_1-59324-A-21-3-119455-A-44_snr-2_pitch_-0.55_fileid_13907.wav,1.835415483,-5.994212151,-8.75951004,-9.080482483,0.873841047,0.951916754,0.013763805,0.004502611,0.07357198,-2,5974.900879,0.145644903
2514,clean_fileid_150_1-60997-A-20-2-102414-E-17_snr-4_pitch_0.83_fileid_4631.wav,1.975865364,-8.886989594,-12.51413345,-12.85068035,0.902925617,0.940876722,0.007242308,0.002859719,0.093932383,-4,6421.239258,0.139613867
2515,clean_fileid_150_1-61261-A-44-4-163697-A-13_snr7_pitch_-0.56_fileid_3899.wav,2.623122215,-14.96552849,-18.38452721,-18.67501831,0.978912226,0.65967685,0.000362989,0.000265821,0.058296174,7,5536.148926,0.15760684
2516,clean_fileid_150_1-62850-A-38-1-21189-A-10_snr-4_pitch_-0.14_fileid_2715.wav,1.608516216,-6.218931198,-9.278458595,-9.618081093,0.833021294,1.160505295,0.03588352,0.009122087,0.106945962,-4,6866.956055,0.163565397
2517,clean_fileid_150_1-64398-B-41-3-151081-B-20_snr26_pitch_-0.45_fileid_11838.wav,3.960378885,-23.6588974,-28.94567108,-29.2322464,0.997839826,0.203269869,0.000152829,9.78E-05,0.046967272,26,4757.339844,0.168548346
2518,clean_fileid_150_1-65483-A-13-5-253094-D-49_snr5_pitch_-0.32_fileid_3855.wav,2.004810095,-9.807937622,-13.61638927,-13.92997742,0.909200601,0.978402257,0.003053969,0.0015674,0.093573011,5,6083.743652,0.16246438
2519,clean_fileid_150_1-81269-A-3-4-164661-A-12_snr12_pitch_-0.06_fileid_6808.wav,3.531544685,-16.84967232,-20.52426147,-21.14730453,0.993147223,0.365353972,0.003147143,0.001006902,0.071814552,12,5067.874023,0.152221441
2520,clean_fileid_150_1-97392-A-0-3-87936-A-46_snr-2_pitch_-0.88_fileid_2448.wav,2.171359301,-7.187077999,-8.547060966,-9.014204025,0.941045298,0.769684434,0.00716543,0.002308754,0.0592537,-2,5636.976563,0.16250658
2521,clean_fileid_150_1-9887-B-49-2-119139-A-31_snr21_pitch_-0.56_fileid_3262.wav,3.657006025,-19.76019287,-25.73513031,-25.88816833,0.995528145,0.202146992,0.0007981,0.000452106,0.039877351,21,4812.36084,0.147411823
2522,clean_fileid_150_2-108766-A-9-5-103418-A-2_snr-6_pitch_0.03_fileid_10445.wav,1.520236135,-5.45926857,-7.446251392,-7.655535698,0.849962393,1.252387285,0.037935499,0.008366439,0.110258721,-6,6547.246582,0.151827812
2523,clean_fileid_150_2-114609-B-28-5-250026-A-30_snr22_pitch_-0.26_fileid_8568.wav,3.576901913,-20.97071457,-26.40489197,-26.72027397,0.997639471,0.192024827,0.001020086,0.000467149,0.035209205,22,4643.439453,0.155583382
2524,clean_fileid_150_2-118817-A-32-5-201664-A-18_snr21_pitch_0.88_fileid_6717.wav,3.457165718,-18.07977486,-22.24145508,-22.58511734,0.980613316,0.37045303,0.00112462,0.000479266,0.065464705,21,5352.554688,0.163597107
2525,clean_fileid_150_2-122066-B-45-1-7057-A-12_snr21_pitch_-0.39_fileid_4055.wav,3.55370903,-19.84225845,-24.89084244,-25.06875229,0.994804811,0.292721123,0.000243065,0.000173282,0.050406355,21,4947.682617,0.147484303
2526,clean_fileid_150_2-128465-B-43-1-50623-A-15_snr25_pitch_-0.46_fileid_11854.wav,3.998250961,-23.13772202,-30.13185692,-30.29278183,0.99679773,0.17815721,0.000426856,0.00028035,0.055847406,25,4881.244141,0.157545805
2527,clean_fileid_150_2-141681-B-36-5-205090-A-32_snr-9_pitch_-0.87_fileid_2052.wav,1.244120598,-0.502889812,-1.093381047,-1.200042844,0.709455741,1.703098893,0.003720722,0.002004128,0.059620999,-9,7162.457031,0.14663887
2528,clean_fileid_150_2-30322-A-12-2-99955-A-7_snr13_pitch_0.97_fileid_4103.wav,2.56888485,-14.82093906,-18.52906799,-19.00228119,0.989266127,0.487710923,0.000790761,0.000457502,0.062328722,13,5415.46582,0.163565397
2529,clean_fileid_150_2-37806-A-40-4-218199-H-35_snr17_pitch_-0.67_fileid_2652.wav,3.225090981,-16.0297699,-21.11697197,-21.49876785,0.988495234,0.471657544,0.002276774,0.001040107,0.0835988,17,5344.036133,0.159574509
2530,clean_fileid_150_2-39443-A-19-4-179984-A-38_snr-9_pitch_0.36_fileid_13674.wav,1.800909638,1.128344893,8.49290657,6.383890629,0.918536814,1.29795301,0.025272131,0.002739749,0.045962662,-9,5617.477051,0.152591944
2531,clean_fileid_150_2-50666-A-20-5-249748-A-28_snr24_pitch_0.57_fileid_10084.wav,4.182042122,-23.44941139,-26.24491501,-26.64622498,0.999111999,0.145572573,0.001003202,0.000254568,0.044604834,24,4892.296875,0.148560762
2532,clean_fileid_150_2-52001-A-28-5-232816-A-23_snr9_pitch_-0.04_fileid_10579.wav,3.370169878,-15.77408409,-20.35810471,-21.03652573,0.987769092,0.402451545,0.0039237,0.001474276,0.071496777,9,4987.817383,0.145925999
2533,clean_fileid_150_2-62226-A-26-2-106019-A-13_snr8_pitch_-0.16_fileid_3422.wav,2.968286991,-14.18176746,-17.11446571,-17.41378593,0.973464264,0.573917985,0.000496345,0.000322267,0.05564288,8,5279.15625,0.133644342
2534,clean_fileid_150_2-68595-A-15-5-201194-A-38_snr-8_pitch_-0.48_fileid_1318.wav,1.403438807,-6.30637455,-7.086406231,-7.34431076,0.870124486,1.445656061,0.00274952,0.001261546,0.070086084,-8,6488.131836,0.141918659
2535,clean_fileid_150_2-71162-A-1-4-188595-A-29_snr5_pitch_0.56_fileid_2240.wav,3.177665949,-14.86966228,-17.504179,-17.81280136,0.969113099,0.37311551,0.001600821,0.000607876,0.046072841,5,5205.171387,0.132555723
2536,clean_fileid_150_2-72688-A-42-3-143562-A-47_snr14_pitch_-0.41_fileid_14294.wav,3.412037611,-15.56833267,-19.4444046,-20.24286652,0.989119619,0.455731422,0.004837371,0.0015377,0.090066873,14,5238.205566,0.145648479
2537,clean_fileid_150_2-7321-A-33-5-222524-A-41_snr16_pitch_0.88_fileid_11463.wav,3.212352753,-14.5291605,-20.57865524,-20.901968,0.968787546,0.487295955,0.003802166,0.001977568,0.100349575,16,5755.606934,0.150573015
2538,clean_fileid_150_2-73544-A-27-2-96904-A-27_snr-2_pitch_0.45_fileid_2282.wav,1.660563469,-8.161394119,-11.52583027,-11.76152992,0.887396795,1.355472803,0.002424214,0.001449287,0.093181863,-2,7153.802734,0.158577681
2539,clean_fileid_150_2-79775-A-26-3-120526-A-37_snr-5_pitch_0.67_fileid_95.wav,2.749651909,-10.79349422,-11.46731567,-11.75315285,0.958133346,0.464139998,0.002422898,0.000831929,0.0431954,-5,5651.030273,0.151955128
2540,clean_fileid_150_2-85434-A-27-1-40154-A-46_snr21_pitch_0.2_fileid_5419.wav,3.521066427,-19.11913109,-25.29348564,-25.5129509,0.98928399,0.372892201,0.000443039,0.000322444,0.073871158,21,5318.940918,0.15561676
2541,clean_fileid_150_2-91912-A-33-2-85139-A-13_snr16_pitch_0.62_fileid_7369.wav,3.595958471,-19.16159821,-23.93209839,-24.23339653,0.992352714,0.290041685,0.001747734,0.000689056,0.07744427,16,5256.211914,0.154589653
2542,clean_fileid_150_2-95258-B-1-5-242491-A-14_snr10_pitch_-0.55_fileid_4708.wav,3.301399231,-13.18439674,-16.52425575,-17.55318069,0.976928609,0.421529025,0.009771593,0.002705961,0.070278123,10,5180.470215,0.144645929
2543,clean_fileid_150_3-103401-A-33-1-34497-A-14_snr-4_pitch_0.04_fileid_10733.wav,1.404559255,-4.713611126,-7.917118549,-8.315889359,0.8237026,1.433192968,0.01192914,0.004666793,0.11260879,-4,7151.313965,0.180548906
2544,clean_fileid_150_3-105236-A-7-2-65747-A-12_snr16_pitch_0.57_fileid_5434.wav,2.721220732,-14.92572594,-19.13320351,-19.48702049,0.983389772,0.580666065,0.001780505,0.000821805,0.090312235,16,5747.790527,0.149593353
2545,clean_fileid_150_3-111102-A-46-2-50668-B-41_snr29_pitch_-0.35_fileid_12983.wav,3.959147453,-25.83198738,-30.80462456,-30.95578003,0.997592393,0.206379756,6.29E-05,4.41E-05,0.045099836,29,4867.766113,0.160572529
2546,clean_fileid_150_3-117504-A-16-1-27165-A-35_snr28_pitch_0.91_fileid_5217.wav,3.987760544,-22.47626495,-24.21077728,-24.52301216,0.995261389,0.214004204,0.000286983,9.63E-05,0.052555323,28,4974.362793,0.14960289
2547,clean_fileid_150_3-117504-B-16-3-143562-A-47_snr16_pitch_0.5_fileid_2330.wav,3.030773163,-15.90232658,-18.91467476,-19.3219223,0.978985671,0.486566365,0.000373208,0.000237908,0.056553941,16,5130.593262,0.143610477
2548,clean_fileid_150_3-128160-A-44-3-124376-A-3_snr-5_pitch_0.09_fileid_4863.wav,1.277015567,-2.702624559,-4.145215988,-4.360605717,0.756159347,1.852353454,0.005138746,0.002514046,0.087658077,-5,7506.332031,0.149599791
2549,clean_fileid_150_3-128512-A-47-2-73027-A-10_snr-8_pitch_0.59_fileid_11534.wav,1.171308398,-1.230629206,-3.348618031,-3.569188356,0.697676146,2.010164499,0.00828833,0.003793815,0.091888748,-8,7540.606934,0.157740831
2550,clean_fileid_150_3-132830-A-32-2-72677-A-18_snr8_pitch_-0.35_fileid_9967.wav,2.567569017,-12.11234093,-17.18347931,-17.54636955,0.940397,0.570813656,0.007766088,0.003195039,0.090826027,8,5663.097656,0.157565117
2551,clean_fileid_150_3-135469-A-35-5-260433-A-39_snr16_pitch_-0.59_fileid_10916.wav,3.521522999,-19.23567009,-23.11281395,-23.70168304,0.996349669,0.264960766,0.000143475,0.000111514,0.030681144,16,4718.617676,0.143728971
2552,clean_fileid_150_3-135650-B-45-4-175945-A-38_snr-3_pitch_-0.74_fileid_7919.wav,1.353234053,-3.924645901,-6.611725807,-6.872070313,0.817050964,1.50413835,0.026388993,0.007494248,0.120183051,-3,7010.63916,0.144593954
2553,clean_fileid_150_3-140199-D-8-2-108767-B-9_snr-9_pitch_0.96_fileid_12772.wav,1.152472138,-0.513130546,-2.724177837,-2.948827982,0.714021161,2.097915888,0.005936708,0.003166953,0.090994246,-9,7515.913086,0.141646862
2554,clean_fileid_150_3-140323-A-29-1-75162-A-9_snr7_pitch_0.87_fileid_4380.wav,2.682492018,-12.48151398,-15.60544395,-15.65785027,0.947839022,0.403636009,0.006798648,0.002076895,0.057032272,7,5359.414551,0.160567284
2555,clean_fileid_150_3-140774-A-10-1-90797-A-15_snr21_pitch_0.58_fileid_5771.wav,3.383824587,-19.09405518,-21.74624634,-22.05957794,0.994828352,0.28700316,0.000396948,0.000179063,0.041127648,21,4728.59082,0.150595665
2556,clean_fileid_150_3-151206-A-23-3-102583-A-49_snr16_pitch_0.26_fileid_9497.wav,3.377583027,-15.21247387,-19.96013832,-20.25653458,0.977955004,0.364686072,0.003700751,0.001492061,0.073148146,16,5192.901855,0.154574633
2557,clean_fileid_150_3-151269-A-35-3-157695-A-0_snr27_pitch_-0.87_fileid_4270.wav,3.762452364,-23.73707962,-27.52341461,-27.65353012,0.997794024,0.198999912,0.000106059,6.17E-05,0.0386981,27,4756.986328,0.161566973
2558,clean_fileid_150_3-155577-A-14-5-250258-A-49_snr20_pitch_0.19_fileid_5482.wav,3.265338898,-18.60299683,-24.68052864,-24.86411667,0.980575867,0.480383635,0.000403675,0.000310278,0.069219679,20,5590.254883,0.146607876
2559,clean_fileid_150_3-165856-A-41-4-178881-A-45_snr23_pitch_-0.42_fileid_4847.wav,3.87277317,-20.96098137,-26.31807327,-26.64973068,0.997990683,0.2341398,0.000996063,0.000450789,0.066967979,23,4979.446289,0.161605597
2560,clean_fileid_150_3-251617-A-48-5-207811-A-35_snr0_pitch_-0.98_fileid_620.wav,1.671626091,-7.165305138,-10.14386082,-10.48081398,0.869848747,1.075157166,0.002098025,0.001334371,0.06571193,0,5907.509277,0.15359211
2561,clean_fileid_150_3-253084-E-2-3-216281-A-39_snr-9_pitch_-0.1_fileid_2164.wav,1.394139409,-4.3779459,-5.747127056,-5.786404133,0.889055599,1.232341409,0.002377906,0.001445276,0.053723332,-9,6331.615723,0.151593447
2562,clean_fileid_150_3-70962-A-4-3-127890-C-9_snr15_pitch_-0.03_fileid_11730.wav,3.020226479,-15.34106255,-22.4781971,-22.6406498,0.969782972,0.536345184,0.002077271,0.001448489,0.089815117,15,5356.371582,0.153622389
2563,clean_fileid_150_4-177243-A-32-2-109231-B-9_snr-1_pitch_-0.15_fileid_8482.wav,1.835429907,-10.04890633,-13.55086136,-13.78868675,0.888183873,1.029296875,0.001128946,0.000802631,0.069956489,-1,6071.293945,0.154620886
