,pesq_wb,time_sisnr_,stoi_score
2029,3.3739516739999997,22.46650505,0.982982349
2030,1.121073365,3.487122536,0.656479361
2031,1.464190364,6.386131763,0.8585829209999999
2032,3.876559973,25.65110207,0.9918935240000001
2033,3.794355631,27.92157745,0.996955096
2034,4.008996487,25.37749863,0.994034512
2035,3.53369379,24.2787323,0.97887444
2036,3.9332704539999996,24.75224495,0.992606043
2037,1.412549019,6.8962183,0.84893704
2038,2.774596691,17.75444221,0.9632510959999999
2039,2.57739377,18.41559792,0.9593726229999999
2040,1.311902046,1.7872576709999999,0.835289215
2041,2.121961355,11.98736572,0.9545174259999999
2042,3.7620811460000003,22.78417206,0.9872605109999999
2043,3.731641531,27.11931038,0.9931733840000001
2044,1.930416226,7.407698154,0.942712419
2045,1.2882523540000002,5.91055584,0.76643956
2046,3.273623466,19.76511383,0.9776674390000001
2047,1.636263728,11.82862759,0.8741976340000001
2048,1.6347599030000002,8.386199951,0.899984709
2049,1.1536699529999999,1.4909794330000001,0.618390529
2050,2.981288195,21.22423935,0.979330956
2051,3.248839378,21.92908096,0.9792048459999999
2052,1.555849552,8.449837685,0.8600446409999999
2053,2.027773142,12.87436867,0.935856178
2054,2.133860588,13.04221535,0.931405467
2055,3.9021844860000003,26.2279911,0.9898406209999999
2056,2.648457766,18.20064735,0.963209509
2057,3.09396553,19.92562866,0.98178327
2058,2.100556374,14.2257309,0.935426649
2059,3.720565081,26.53975487,0.978668433
2060,3.802040815,28.2880497,0.997902107
2061,3.87994051,25.60144615,0.996044018
2062,4.063414097,26.02187729,0.993615658
2063,3.887310743,26.39819145,0.99578522
2064,2.568470001,14.32210732,0.940028526
2065,2.548597574,17.53237534,0.947034134
2066,1.140284657,3.316556215,0.6831537740000001
2067,2.8313722610000003,19.03478432,0.977950347
2068,1.682463646,9.46957016,0.8989641270000001
2069,3.8403685089999997,22.68222618,0.989915607
2070,3.377095222,18.8303318,0.9859165679999999
2071,3.590186357,24.31604385,0.996780332
2072,1.7530767919999999,10.45300674,0.935891464
2073,3.308846235,26.12577438,0.9933426479999999
2074,3.844337225,28.05919266,0.99809733
2075,1.236929655,6.378158569,0.82299052
2076,1.63933754,7.3614645,0.870092489
2077,3.08863616,19.02512741,0.981553459
2078,1.294115305,7.833435535,0.844673412
2079,3.4186160560000003,25.35334587,0.9914895709999999
2080,1.337403893,4.280127525,0.822886173
2081,3.7644062039999997,23.864824300000002,0.995980105
2082,3.732350349,27.88113594,0.998257802
2083,2.542160749,17.97432327,0.973498575
2084,3.3987116810000004,24.36372948,0.99445794
2085,3.4296391010000002,26.51478958,0.994188885
2086,3.6169393060000004,26.871131899999995,0.996046475
2087,2.80607152,19.73413086,0.9791220979999999
2088,2.786707401,17.26815987,0.976737317
2089,3.811576128,28.07671356,0.997495692
2090,3.3251578810000004,21.51329803,0.987364756
2091,2.13535285,12.46896744,0.958158825
2092,1.444020748,1.842737675,0.87089063
2093,1.251284122,5.3171229360000005,0.8273660890000001
2094,1.175552726,5.6062612529999996,0.793545589
2095,1.9116981030000002,13.50532913,0.9507412940000001
2096,3.900471687,25.67031097,0.9953956909999999
2097,3.866069794,28.75455475,0.9975745859999999
2098,3.735436201,26.94875526,0.9964854740000001
2099,3.6356327530000003,22.67598152,0.993029553
2100,3.300669909,22.08284569,0.991846529
2101,1.779693365,13.39124298,0.947055568
2102,1.166034341,3.96999836,0.752004351
2103,3.243990183,20.06918716,0.992771071
2104,2.6217651369999997,9.202896118,0.97677091
2105,1.851545334,11.15344524,0.943904051
2106,1.940772295,15.26166153,0.948779768
2107,3.8707094189999998,27.27766228,0.996638123
2108,3.10728693,19.10586548,0.9903672370000001
2109,3.126215935,22.68867302,0.989001715
2110,1.361512065,5.84553194,0.887283962
2111,2.9023225310000003,19.23604584,0.977583139
2112,3.0038771630000003,23.60256577,0.9866783379999999
2113,3.123025179,20.6033535,0.987825328
2114,1.5750410559999999,11.16735363,0.919603548
2115,3.9230303760000003,29.58347702,0.9992269420000001
2116,1.577990055,11.48236847,0.93246591
2117,3.430292845,21.07956696,0.989056073
2118,3.3785412310000003,25.32177925,0.9945718840000001
2119,2.922234058,19.89469147,0.983725898
2120,2.865989447,4.687573433,0.9687158000000001
2121,1.691848636,9.442065239,0.886698515
2122,3.705152273,27.18690491,0.99667599
2123,2.367949486,14.63610744,0.954615047
2124,1.822181344,13.40930462,0.9541778340000001
2125,1.404570937,5.921975136,0.8475332959999999
2126,3.6242094039999997,27.52705002,0.9969567770000001
2127,3.810456276,28.186227799999998,0.997828918
2128,3.1655988689999996,21.16666412,0.991156466
2129,3.7754323480000003,24.40746498,0.9964839940000001
2130,4.001335144,27.82518005,0.997774542
2131,2.514223576,18.26922607,0.979184075
2132,1.703758717,11.32266426,0.937472125
2133,1.776300669,9.442557335,0.9405591999999999
2134,1.202023268,4.988987923,0.809002105
2135,2.004340172,13.05461693,0.956043871
2136,3.264955997,22.49233437,0.989917092
2137,3.5443224910000004,24.57017136,0.99535669
2138,3.206219673,19.25028992,0.9939898559999999
2139,2.314306736,16.41903114,0.977183688
2140,1.811309099,11.80557728,0.9361642170000001
2141,3.7224583630000003,25.99128914,0.996302314
2142,2.392250776,17.24566841,0.9731068420000001
2143,1.218611598,7.2863883970000005,0.8318688679999999
2144,2.6381373409999997,15.64552116,0.972478347
2145,3.269549131,19.65632248,0.990146265
2146,3.9036040310000004,29.18476486,0.998206906
2147,2.874764442,21.36459351,0.98668291
2148,3.2721560000000003,24.06373215,0.991137934
2149,1.25354898,2.7585682869999997,0.7960800809999999
2150,3.777980566,27.23730278,0.9960298190000001
2151,2.436432838,9.552280426,0.956121813
2152,3.7345135210000002,25.91233444,0.996301508
2153,1.5436966419999998,8.460456848,0.9101619879999999
2154,2.879165888,20.86125183,0.984720588
2155,2.991918802,19.99031639,0.989083171
2156,3.460394382,26.28814507,0.9943879520000001
2157,1.384411931,9.265662192999999,0.865163793
2158,3.611853361,25.95698929,0.9964494309999999
2159,4.031447411,26.961690899999997,0.9987496929999999
2160,2.160676956,11.40753555,0.964550079
2161,1.3578202719999999,5.890163898,0.834157134
2162,3.4320526119999997,25.05822372,0.9948760329999999
2163,3.715954542,26.43608475,0.9963960270000001
2164,1.8109378809999999,15.02189636,0.9648839909999999
2165,2.3880150319999998,16.56892395,0.9715728859999999
